序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
942,夜市,第2*級,ㄧㄝˋ ㄕˋ,yèshì,N,night market,晚上的市場,9.購物、商店,,台灣的夜市有很多有名的小吃。
943,一會/一會兒,第2*級,ㄧˋ ㄏㄨㄟˇ / ㄧˋ ㄏㄨㄟˇ ㄦ,yìhuǐ/yìhuǐr,Adv,"for a while, awhile, in a moment",很短的時間。,核心詞,等一會兒，一會兒見,台灣春天的天氣，一會兒冷，一會兒熱。
944,一塊/一塊兒,第2*級,ㄧˊ ㄎㄨㄞˋ / ㄧˊ ㄎㄨㄞˋ ㄦ,yíkuài/yíkuàir,Adv,"together, with",一起。,核心詞,一塊兒去玩，住在一塊兒,每天早上我都和弟弟一塊兒去上學。
945,英語,第2*級,ㄧㄥ ㄩˇ,yīngyǔ,N,spoken English,,8.教育、學習,英語課,他在小學教英語。
946,用功,第2*級,ㄩㄥˋ ㄍㄨㄥ,yònggōng,Vs,"to be diligent, to study hard, to make great effort",,8.教育、學習,,他是一個用功的學生，所以成績很好。
947,游,第2*級,ㄧㄡˊ,yóu,V,to swim,,4.休閒、娛樂,游了很久，游一個小時,很多魚在水裡面游著。
948,游泳,第2*級,ㄧㄡˊ ㄩㄥˇ,yóuyǒng,V,to swim,,4.休閒、娛樂,游兩次泳,我一個禮拜游兩次泳。
949,游泳,第2*級,ㄧㄡˊ ㄩㄥˇ,yóuyǒng,N,swimming,,4.休閒、娛樂,學游泳,游泳是很好的運動。
950,游泳池,第2*級,ㄧㄡˊ ㄩㄥˇ ㄔˊ,yóuyǒngchí,N,swimming pool,讓人游泳的地方。,4.休閒、娛樂,游泳池裡,游泳池裡人很多。
951,郵票,第2*級,ㄧㄡˊ ㄆㄧㄠˋ,yóupiào,N,stamp,,11.公共服務,一張郵票,寄信以前要先買郵票。
